Li,Ls,Mc,Tonelaje,Tonelaje_Mg,Ley_Media
0.0,0.3,0.15,6358117.5,12158100.0,0.855871435706502
0.3,0.6,0.44999999999999996,5799982.5,10679220.0,0.820932278423538
0.6,0.8999999999999999,0.75,4879237.5,8715378.75,0.7288645341445695
0.8999999999999999,1.2,1.0499999999999998,3836141.25,6741761.25,0.6036360901743553
1.2,1.5,1.35,2905620.0,4944708.75,0.46801784416999637
1.5,1.8,1.65,2039088.75,3582255.0,0.3401298015800944
1.8,2.1,1.9500000000000002,1543166.25,2636032.5,0.2268908349981838
2.1,2.4,2.25,1092866.25,1559460.0,0.12841247048674173
2.4,2.6999999999999997,2.55,466593.75,693225.0,0.061190349164547755
2.6999999999999997,2.9999999999999996,2.8499999999999996,226631.25,356685.0,0.02732388530693788
2.9999999999999996,3.2999999999999994,3.1499999999999995,130053.75,130053.75,0.007848540228841263
